exp_ID;Workload Level;Block Size;Block Creation Interval;TFL;TPS;Number of Validating Nodes;first_block;last_block;number_of_blocks;total_number_of_blocks_per_exp;BPR;Gini;HHI
tezosExp_1010;85;2772987;27;13.91;60.33;32;69;70;2;20;10.6301699036396;1.36448793414902E-05;322.58064536349
tezosExp_1010;90;2772987;27;13.61;61.43;32;92;93;2;20;10.6301699036396;1.36448793414902E-05;322.58064536349
tezosExp_1010;95;2772987;27;13.25;63.7;32;115;116;2;20;10.6301699036396;1.36448793414902E-05;322.58064536349
tezosExp_1010;100;2772987;27;12.98;65.65;32;32;33;2;20;10.6301699036396;1.36448793414902E-05;322.58064536349
tezosExp_1010;105;2772987;27;13.08;66.06;32;57;58;2;20;10.6301699036396;1.36448793414902E-05;322.58064536349
tezosExp_1011;10;2046041;62;38.39;2.32;74;50;51;2;21;23.9077608843455;1.39742909251998E-05;270.270270488778
tezosExp_1011;25;2046041;62;32.38;5.81;74;40;41;2;21;23.9077608843455;1.39742909251998E-05;270.270270488778
tezosExp_1011;40;2046041;62;33.58;9.29;74;55;56;2;21;23.9077608843455;1.39742909251998E-05;270.270270488778
tezosExp_1011;55;2046041;62;31.92;12.77;74;29;31;3;21;29.6777520331804;1.39742909251998E-05;270.270270488778
tezosExp_1011;70;2046041;62;32.7;10.84;74;25;26;2;21;23.9077608843455;1.39742909251998E-05;270.270270488778
tezosExp_1011;85;2046041;62;31.79;19.74;74;45;46;2;21;23.9077608843455;1.39742909251998E-05;270.270270488778
tezosExp_1011;90;2046041;62;31.13;20.56;74;15;16;2;21;23.9077608843455;1.39742909251998E-05;270.270270488778
tezosExp_1011;95;2046041;62;31.46;20.97;74;10;11;2;21;23.9077608843455;1.39742909251998E-05;270.270270488778
tezosExp_1011;100;2046041;62;29.18;20.32;74;35;36;2;21;23.9077608843455;1.39742909251998E-05;270.270270488778
tezosExp_1011;105;2046041;62;30.74;21.9;74;20;21;2;21;23.9077608843455;1.39742909251998E-05;270.270270488778
tezosExp_1012;10;4172257;17;9.32;17.24;120;178;188;11;104;41.1358720321636;3.27621934318213E-05;105.263158281114
tezosExp_1012;25;4172257;17;11.55;21.59;120;136;150;15;104;48.3498886592176;3.27621934318213E-05;105.263158281114
tezosExp_1012;40;4172257;17;19.34;17.28;120;113;130;18;104;52.5568441160516;3.27621934318213E-05;105.263158281114
tezosExp_1012;55;4172257;17;32.68;14.36;120;57;64;8;104;34.1579050905332;3.27621934318213E-05;105.263158281114
tezosExp_1012;70;4172257;17;82.83;12.3;120;79;88;10;104;38.9828264221584;3.27621934318213E-05;105.263158281114
tezosExp_1012;85;4172257;17;77.32;17.84;120;94;107;14;104;46.734446705964;3.27621934318213E-05;105.263158281114
tezosExp_1012;90;4172257;17;108.16;17.07;120;48;51;4;104;21.6943371606512;3.27621934318213E-05;105.263158281114
tezosExp_1012;95;4172257;17;47.53;18.15;120;41;42;2;104;13.1548608880179;3.27621934318213E-05;105.263158281114
tezosExp_1012;100;4172257;17;93.1;18.86;120;156;172;17;104;51.2545464313186;3.27621934318213E-05;105.263158281114
tezosExp_1012;105;4172257;17;62.53;19.21;120;70;74;5;104;25.26064398031;3.27621934318213E-05;105.263158281114
tezosExp_1013;10;6902602;69;39.01;7.04;82;46;48;3;30;27.2398103780764;1.76240189433481E-05;250.000000290579
tezosExp_1013;25;6902602;69;35.62;17.61;82;66;69;4;30;31.7820038453198;1.76240189433481E-05;250.000000290579
tezosExp_1013;40;6902602;69;35.85;28.17;82;59;61;3;30;27.2398103780764;1.76240189433481E-05;250.000000290579
tezosExp_1013;55;6902602;69;38.18;25.83;82;52;55;4;30;31.7820038453198;1.76240189433481E-05;250.000000290579
tezosExp_1013;70;6902602;69;36.13;28.86;82;13;14;2;30;21.3576685893266;1.76240189433481E-05;250.000000290579
tezosExp_1013;85;6902602;69;43.38;22.01;82;23;24;2;30;21.3576685893266;1.76240189433481E-05;250.000000290579
tezosExp_1013;90;6902602;69;46.34;33.09;82;28;30;3;30;27.2398103780764;1.76240189433481E-05;250.000000290579
tezosExp_1013;95;6902602;69;52.5;27.53;82;39;42;4;30;31.7820038453198;1.76240189433481E-05;250.000000290579
tezosExp_1013;100;6902602;69;55.94;35.42;82;34;36;3;30;27.2398103780764;1.76240189433481E-05;250.000000290579
tezosExp_1013;105;6902602;69;59.04;26.37;82;18;19;2;30;21.3576685893266;1.76240189433481E-05;250.000000290579
tezosExp_1014;10;1436852;73;48.13;1.38;80;25;26;2;20;26.5754247590989;1.64216330130549E-05;256.410256687332
tezosExp_1014;25;1436852;73;41.86;3.45;80;10;11;2;20;26.5754247590989;1.64216330130549E-05;256.410256687332
tezosExp_1014;40;1436852;73;39.7;5.53;80;40;41;2;20;26.5754247590989;1.64216330130549E-05;256.410256687332
tezosExp_1014;55;1436852;73;38.61;7.62;80;30;31;2;20;26.5754247590989;1.64216330130549E-05;256.410256687332
tezosExp_1014;70;1436852;73;37.95;9.7;80;20;21;2;20;26.5754247590989;1.64216330130549E-05;256.410256687332
tezosExp_1014;85;1436852;73;37.52;11.78;80;15;16;2;20;26.5754247590989;1.64216330130549E-05;256.410256687332
tezosExp_1014;90;1436852;73;38.35;12.47;80;35;36;2;20;26.5754247590989;1.64216330130549E-05;256.410256687332
tezosExp_1014;95;1436852;73;38.61;12.97;80;55;56;2;20;26.5754247590989;1.64216330130549E-05;256.410256687332
tezosExp_1014;100;1436852;73;35.37;13.08;80;50;51;2;20;26.5754247590989;1.64216330130549E-05;256.410256687332
tezosExp_1014;105;1436852;73;37.54;13.64;80;45;46;2;20;26.5754247590989;1.64216330130549E-05;256.410256687332
tezosExp_1015;10;3425532;96;56.18;2.51;100;57;58;2;20;33.2192809488736;1.43896490970681E-05;227.272727446047
tezosExp_1015;25;3425532;96;53.26;6.28;100;12;13;2;20;33.2192809488736;1.43896490970681E-05;227.272727446047
tezosExp_1015;40;3425532;96;52.52;10.04;100;42;43;2;20;33.2192809488736;1.43896490970681E-05;227.272727446047
tezosExp_1015;55;3425532;96;48.98;13.81;100;22;23;2;20;33.2192809488736;1.43896490970681E-05;227.272727446047
tezosExp_1015;70;3425532;96;49.44;17.58;100;32;33;2;20;33.2192809488736;1.43896490970681E-05;227.272727446047
tezosExp_1015;85;3425532;96;47.77;19.58;100;47;48;2;20;33.2192809488736;1.43896490970681E-05;227.272727446047
tezosExp_1015;90;3425532;96;46.38;20.55;100;52;53;2;20;33.2192809488736;1.43896490970681E-05;227.272727446047
tezosExp_1015;95;3425532;96;44.31;20.84;100;37;38;2;20;33.2192809488736;1.43896490970681E-05;227.272727446047
tezosExp_1015;100;3425532;96;42.6;19.47;100;27;28;2;20;33.2192809488736;1.43896490970681E-05;227.272727446047
tezosExp_1015;105;3425532;96;44.64;21.48;100;17;18;2;20;33.2192809488736;1.43896490970681E-05;227.272727446047
tezosExp_1016;10;5336352;38;19.66;9.87;101;33;35;3;54;23.397912508093;2.08661592439028E-05;153.846154060099
tezosExp_1016;25;5336352;38;19.63;24.71;101;77;85;9;54;43.5135354288061;2.08661592439028E-05;153.846154060099
tezosExp_1016;40;5336352;38;20.96;26.37;101;40;43;4;54;28.0921213124822;2.08661592439028E-05;153.846154060099
tezosExp_1016;55;5336352;38;43.79;14.97;101;103;110;8;54;41.2212796620015;2.08661592439028E-05;153.846154060099
tezosExp_1016;70;5336352;38;35.44;25.96;101;21;22;2;54;17.7868013969819;2.08661592439028E-05;153.846154060099
tezosExp_1016;85;5336352;38;148.53;15.79;101;90;98;9;54;43.5135354288061;2.08661592439028E-05;153.846154060099
tezosExp_1016;90;5336352;38;59.82;20.47;101;66;72;7;54;38.5908432247194;2.08661592439028E-05;153.846154060099
tezosExp_1016;95;5336352;38;76.11;16.8;101;57;61;5;54;32.1045277902673;2.08661592439028E-05;153.846154060099
tezosExp_1016;100;5336352;38;50.03;17.12;101;27;28;2;54;17.7868013969819;2.08661592439028E-05;153.846154060099
tezosExp_1016;105;5336352;38;62.73;23.39;101;48;52;5;54;32.1045277902673;2.08661592439028E-05;153.846154060099
tezosExp_1017;10;478967;116;99.85;0.28;88;22;23;2;21;28.4308507813839;1.44816132926844E-05;232.558139751819
tezosExp_1017;25;478967;116;74.32;0.72;88;32;33;2;21;28.4308507813839;1.44816132926844E-05;232.558139751819
tezosExp_1017;40;478967;116;82.83;1.16;88;37;38;2;21;28.4308507813839;1.44816132926844E-05;232.558139751819
tezosExp_1017;55;478967;116;70.08;1.59;88;52;53;2;21;28.4308507813839;1.44816132926844E-05;232.558139751819
tezosExp_1017;70;478967;116;77;2.03;88;62;64;3;21;35.2924618772956;1.44816132926844E-05;232.558139751819
tezosExp_1017;85;478967;116;68.66;2.47;88;42;43;2;21;28.4308507813839;1.44816132926844E-05;232.558139751819
tezosExp_1017;90;478967;116;65.82;2.61;88;47;48;2;21;28.4308507813839;1.44816132926844E-05;232.558139751819
tezosExp_1017;95;478967;116;62.98;2.76;88;27;28;2;21;28.4308507813839;1.44816132926844E-05;232.558139751819
tezosExp_1017;100;478967;116;59.64;2.88;88;17;18;2;21;28.4308507813839;1.44816132926844E-05;232.558139751819
tezosExp_1017;105;478967;116;73.94;1.94;88;57;58;2;21;28.4308507813839;1.44816132926844E-05;232.558139751819
tezosExp_1018;10;5313593;85;47.95;4.4;103;52;54;3;27;36.278030572062;1.87673514536671E-05;196.078431652855
tezosExp_1018;25;5313593;85;46.39;11;103;40;42;3;27;36.278030572062;1.87673514536671E-05;196.078431652855
